Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,14,2024-11-17,26-128,OKC,,DAL,1,38:28,13,19,.684,1,1,1.000,9,11,.818,0,2,2,8,2,2,1,1,36,35.3,+8
,15,2024-11-19,26-130,OKC,@,SAS,1,37:16,11,20,.550,5,8,.625,5,6,.833,0,3,3,8,3,0,4,3,32,26.3,+2
,16,2024-11-20,26-131,OKC,,POR,1,38:42,7,19,.368,0,2,.000,14,14,1.000,2,3,5,4,3,1,2,2,28,23.5,+7
,17,2024-11-25,26-136,OKC,@,SAC,1,34:38,13,20,.650,4,7,.571,7,11,.636,0,4,4,11,0,0,6,2,37,28.7,+15
,18,2024-11-27,26-138,OKC,@,GSW,1,38:36,13,28,.464,3,12,.250,6,10,.600,0,9,9,5,1,2,3,3,35,23.4,+5
,19,2024-11-29,26-140,OKC,@,LAL,1,36:59,13,28,.464,3,10,.300,7,8,.875,3,3,6,9,2,1,3,3,36,29.0,+13
,20,2024-12-01,26-142,OKC,@,HOU,1,36:07,10,19,.526,3,7,.429,9,11,.818,2,6,8,5,2,0,2,2,32,27.8,+6
,21,2024-12-03,26-144,OKC,,UTA,1,30:07,11,19,.579,2,6,.333,2,2,1.000,1,5,6,7,3,0,0,4,26,25.6,+20
,22,2024-12-05,26-146,OKC,@,TOR,1,29:38,11,22,.500,1,10,.100,7,8,.875,0,4,4,5,2,2,2,2,30,23.9,+28
,23,2024-12-07,26-148,OKC,@,NOP,1,34:28,10,18,.556,1,3,.333,10,12,.833,0,2,2,4,0,0,4,5,31,19.0,-2
,24,2024-12-10,26-151,OKC,,DAL,1,37:51,15,23,.652,5,9,.556,4,4,1.000,0,8,8,5,3,1,2,3,39,35.3,+22
,25,2024-12-14,26-155,OKC,,HOU,1,37:37,8,21,.381,2,6,.333,14,15,.933,0,8,8,6,5,1,1,3,32,30.2,+16
